date,cass_shipments,cass_expenditures,tsi_freight
2000-01-01,1.134,1.481,105.3
2000-02-01,1.112,1.408,104.4
2000-03-01,1.142,1.405,99.2
2000-04-01,1.102,1.443,98.0
2000-05-01,1.103,1.45,98.6
2000-06-01,1.141,1.472,99.6
2000-07-01,1.052,1.423,97.5
2000-08-01,1.157,1.459,99.5
2000-09-01,1.183,1.517,99.6
2000-10-01,1.16,1.487,99.5
2000-11-01,1.101,1.426,99.8
2000-12-01,0.948,1.308,98.9
2001-01-01,1.069,1.362,99.5
2001-02-01,1.02,1.275,99.9
2001-03-01,1.049,1.274,99.1
2001-04-01,0.994,1.231,98.1
2001-05-01,1.075,1.278,99.3
2001-06-01,1.022,1.234,98.5
2001-07-01,1.045,1.227,97.6
2001-08-01,0.991,1.195,99.3
2001-09-01,0.999,1.215,98.1
2001-10-01,1.057,1.25,98.8
2001-11-01,0.979,1.183,98.0
2001-12-01,0.966,1.167,97.7
2002-01-01,0.937,1.121,98.8
2002-02-01,0.935,1.16,100.3
2002-03-01,0.946,1.201,98.8
2002-04-01,0.978,1.21,99.8
2002-05-01,0.967,1.17,100.9
2002-06-01,0.989,1.2,101.5
2002-07-01,1.062,1.303,102.7
2002-08-01,1.032,1.251,102.5
2002-09-01,1.049,1.291,103.0
2002-10-01,0.999,1.297,104.4
2002-11-01,0.943,1.235,104.7
2002-12-01,0.898,1.2,105.0
2003-01-01,0.94,1.207,104.1
2003-02-01,0.948,1.205,103.6
2003-03-01,1.035,1.285,103.6
2003-04-01,0.966,1.257,103.9
2003-05-01,0.989,1.249,102.9
2003-06-01,1.016,1.306,102.8
2003-07-01,1.062,1.364,104.1
2003-08-01,1.06,1.354,103.7
2003-09-01,1.086,1.425,104.9
2003-10-01,1.088,1.389,106.6
2003-11-01,1.072,1.386,106.2
2003-12-01,1.029,1.376,108.7
2004-01-01,1.019,1.302,107.8
2004-02-01,1.131,1.375,108.6
2004-03-01,1.169,1.43,110.2
2004-04-01,1.142,1.432,110.6
2004-05-01,1.193,1.506,110.3
2004-06-01,1.249,1.616,110.9
2004-07-01,1.175,1.503,111.1
2004-08-01,1.292,1.592,110.1
2004-09-01,1.316,1.685,110.6
2004-10-01,1.298,1.671,111.3
2004-11-01,1.292,1.631,112.1
2004-12-01,1.232,1.649,111.7
2005-01-01,1.229,1.535,114.0
2005-02-01,1.321,1.599,113.1
2005-03-01,1.303,1.629,112.3
2005-04-01,1.228,1.651,113.0
2005-05-01,1.219,1.706,112.3
2005-06-01,1.233,1.774,111.7
2005-07-01,1.244,1.686,111.8
2005-08-01,1.244,1.747,112.5
2005-09-01,1.277,1.848,111.5
2005-10-01,1.257,1.883,111.1
2005-11-01,1.237,1.916,113.7
2005-12-01,1.256,1.94,112.5
2006-01-01,1.286,1.926,112.5
2006-02-01,1.254,1.964,111.5
2006-03-01,1.28,1.962,112.0
2006-04-01,1.288,1.977,111.3
2006-05-01,1.329,2.034,113.6
2006-06-01,1.347,2.187,113.1
2006-07-01,1.289,2.053,111.9
2006-08-01,1.345,2.1,109.5
2006-09-01,1.312,2.114,112.9
2006-10-01,1.24,2.002,110.8
2006-11-01,1.208,1.906,108.5
2006-12-01,1.161,1.833,110.6
2007-01-01,1.171,1.812,109.8
2007-02-01,1.196,1.828,110.5
2007-03-01,1.258,1.95,111.8
2007-04-01,1.259,1.931,110.3
2007-05-01,1.278,2.003,110.3
2007-06-01,1.31,2.056,109.7
2007-07-01,1.259,1.903,108.7
2007-08-01,1.271,1.979,109.5
2007-09-01,1.295,2.053,109.4
2007-10-01,1.264,2.001,110.8
2007-11-01,1.256,2.018,110.6
2007-12-01,1.173,1.929,110.7
2008-01-01,1.129,1.844,113.3
2008-02-01,1.134,1.884,111.3
2008-03-01,1.16,1.937,109.7
2008-04-01,1.171,1.933,111.5
2008-05-01,1.162,2.023,111.3
2008-06-01,1.166,2.109,109.8
2008-07-01,1.096,2.088,111.0
2008-08-01,1.127,2.023,109.1
2008-09-01,1.08,2.023,107.4
2008-10-01,1.05,1.967,107.5
2008-11-01,1.028,1.928,104.3
2008-12-01,0.902,1.619,100.4
2009-01-01,0.851,1.424,98.5
2009-02-01,0.938,1.507,101.0
2009-03-01,0.905,1.475,95.8
2009-04-01,0.878,1.396,94.8
2009-05-01,0.913,1.43,94.9
2009-06-01,0.933,1.489,96.1
2009-07-01,0.928,1.491,98.3
2009-08-01,0.94,1.477,99.2
2009-09-01,0.966,1.556,99.6
2009-10-01,0.921,1.517,98.5
2009-11-01,0.947,1.596,101.2
2009-12-01,0.919,1.528,101.6
2010-01-01,0.899,1.462,103.2
2010-02-01,0.93,1.549,105.3
2010-03-01,0.974,1.663,105.5
2010-04-01,0.991,1.689,106.4
2010-05-01,1.014,1.784,106.3
2010-06-01,1.106,1.919,106.5
2010-07-01,1.011,1.832,106.9
2010-08-01,1.095,1.971,106.8
2010-09-01,1.116,2.031,107.1
2010-10-01,1.058,1.976,107.9
2010-11-01,1.088,1.989,107.3
2010-12-01,1.049,1.912,108.7
2011-01-01,1.01,1.859,110.0
2011-02-01,1.036,2.091,109.6
2011-03-01,1.108,2.222,110.9
2011-04-01,1.113,2.279,110.3
2011-05-01,1.111,2.317,108.6
2011-06-01,1.165,2.423,110.3
2011-07-01,1.122,2.373,110.4
2011-08-01,1.143,2.282,110.6
2011-09-01,1.2,2.338,111.4
2011-10-01,1.081,2.295,111.5
2011-11-01,1.056,2.268,111.9
2011-12-01,1.056,2.272,115.0
2012-01-01,1.046,2.269,111.6
2012-02-01,1.072,2.295,111.9
2012-03-01,1.094,2.317,111.7
2012-04-01,1.115,2.395,111.9
2012-05-01,1.135,2.447,112.7
2012-06-01,1.15,2.444,113.6
2012-07-01,1.142,2.394,113.4
2012-08-01,1.13,2.368,112.6
2012-09-01,1.155,2.447,111.9
2012-10-01,1.139,2.487,110.3
2012-11-01,1.093,2.342,112.1
2012-12-01,1.071,2.364,112.2
2013-01-01,1.02,2.233,114.3
2013-02-01,1.077,2.273,115.9
2013-03-01,1.14,2.42,115.8
2013-04-01,1.1,2.382,114.7
2013-05-01,1.132,2.383,115.8
2013-06-01,1.133,2.463,116.5
2013-07-01,1.107,2.484,115.9
2013-08-01,1.126,2.448,116.6
2013-09-01,1.156,2.575,116.5
2013-10-01,1.116,2.508,116.5
2013-11-01,1.105,2.524,118.8
2013-12-01,1.037,2.387,117.7
2014-01-01,1.0,2.265,116.1
2014-02-01,1.073,2.419,118.0
2014-03-01,1.144,2.549,119.8
2014-04-01,1.161,2.621,120.5
2014-05-01,1.173,2.649,120.9
2014-06-01,1.201,2.76,119.8
2014-07-01,1.154,2.651,120.4
2014-08-01,1.181,2.644,120.9
2014-09-01,1.164,2.666,121.8
2014-10-01,1.153,2.668,122.6
2014-11-01,1.151,2.65,123.2
2014-12-01,1.078,2.473,123.1
2015-01-01,1.027,2.333,122.9
2015-02-01,1.083,2.434,121.7
2015-03-01,1.086,2.459,122.5
2015-04-01,1.132,2.499,121.5
2015-05-01,1.158,2.537,121.8
2015-06-01,1.16,2.599,121.3
2015-07-01,1.141,2.482,122.4
2015-08-01,1.127,2.432,123.0
2015-09-01,1.146,2.49,122.9
2015-10-01,1.092,2.435,122.5
2015-11-01,1.092,2.409,120.8
2015-12-01,1.038,2.345,120.3
2016-01-01,0.974,2.174,122.0
2016-02-01,1.055,2.31,121.4
2016-03-01,1.07,2.287,120.2
2016-04-01,1.077,2.292,122.3
2016-05-01,1.091,2.282,121.7
2016-06-01,1.11,2.37,122.3
2016-07-01,1.111,2.355,125.2
2016-08-01,1.115,2.278,122.9
2016-09-01,1.111,2.396,121.6
2016-10-01,1.121,2.343,122.6
2016-11-01,1.087,2.3,123.2
2016-12-01,1.074,2.274,124.0
2017-01-01,1.005,2.268,123.7
2017-02-01,1.075,2.383,124.5
2017-03-01,1.08,2.355,124.4
2017-04-01,1.12,2.429,124.7
2017-05-01,1.168,2.451,124.9
2017-06-01,1.163,2.497,125.2
2017-07-01,1.126,2.46,127.6
2017-08-01,1.158,2.499,128.3
2017-09-01,1.147,2.507,127.6
2017-10-01,1.153,2.606,129.2
2017-11-01,1.155,2.629,131.2
2017-12-01,1.151,2.638,132.3
2018-01-01,1.131,2.59,130.3
2018-02-01,1.198,2.724,132.8
2018-03-01,1.209,2.723,134.6
2018-04-01,1.234,2.74,134.5
2018-05-01,1.307,2.875,135.7
2018-06-01,1.247,2.894,136.3
2018-07-01,1.245,2.901,135.3
2018-08-01,1.227,2.917,135.3
2018-09-01,1.241,2.99,136.3
2018-10-01,1.224,2.919,137.9
2018-11-01,1.162,2.849,138.7
2018-12-01,1.142,2.903,136.2
2019-01-01,1.128,2.792,137.4
2019-02-01,1.173,2.874,135.6
2019-03-01,1.197,2.889,136.5
2019-04-01,1.194,2.909,136.3
2019-05-01,1.228,2.845,135.4
2019-06-01,1.181,2.919,
